order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,183,Neo,256.0,Jackets,Clothing,Wallet,8,8611,2021-09-14 02:19:38,UK,Oxford,www.tatacliq.com,95365,Y,
3,190,Neo,253.0,Food Storage Containers,Home & Kitchen,Card,47,1416,2021-11-04 23:44:48,USA,Boston,www.ebay.in,28562,N,Insufficient Funds
4,128,Neo,204.0,Coats,Clothing,Internet Banking,30,1021,2021-09-27 18:25:03,USA,Boston,www.flipkart.com,78817,N,Timeout
5,176,Joe Smith,274.0,Scarves,Clothing,Internet Banking,18,734,2021-12-12 07:33:06,UK,Oxford,www.tatacliq.com,74569,Y,
6,131,Neo,297.0,Sticky Notes,Stationery,Internet Banking,37,5210,2021-09-12 14:57:32,Germany,Berlin,www.tatacliq.com,48550,Y,
7,103,,213.0,Pencil Sharpener,Stationery,Card,22,8477,2021-06-10 20:38:07,UK,Oxford,www.ebay.in,99534,Y,
8,121,Joe Smith,287.0,Calculator,Stationery,Wallet,30,2353,2021-09-13 10:43:10,India,Bengaluru,www.tatacliq.com,57216,N,Timeout
9,114,Trinity,226.0,Jeans,Clothing,Internet Banking,17,8599,2021-05-29 21:48:10,Australia,Sydney,www.ebay.in,98538,Y,
10,171,Joe Smith,252.0,Kitchen Scale,Home & Kitchen,Wallet,41,4703,2021-11-30 14:30:58,Australia,Brisbane,www.flipkart.com,71540,N,Timeout
11,153,Neo,249.0,Horror,Books,Wallet,14,1228,2021-09-12 09:53:23,Australia,Brisbane,www.flipkart.com,26515,Y,
12,187,John Smith,252.0,Food Storage Containers,Home & Kitchen,UPI,25,746,2021-07-29 19:31:21,Germany,Hamburg,www.tatacliq.com,14352,N,Timeout
13,197,Neo,204.0,Sportswear,Clothing,UPI,10,92,2021-05-09 06:09:41,USA,Chicago,www.flipkart.com,60826,N,Invalid CVV
14,194,,244.0,Home Theater System,Electronics,UPI,50,1385,2021-06-19 10:35:35,USA,New York,www.flipkart.com,33729,Y,
15,103,John Smith,200.0,Jeans,Clothing,Internet Banking,24,4768,2021-09-11 18:05:06,Australia,Sydney,www.ebay.in,67149,Y,
16,173,Joe Smith,285.0,Fiction,Books,Card,21,509,2021-06-23 11:25:46,Germany,Munich,www.amazon.com,82094,Y,
17,160,Trinity,277.0,Skirts,Clothing,UPI,21,5454,2021-03-31 18:32:16,USA,Chicago,www.tatacliq.com,56785,N,Insufficient Funds
18,103,John Smith,225.0,Pencils,Stationery,Wallet,18,1133,2021-07-28 09:36:10,Germany,Hamburg,www.ebay.in,12132,N,Invalid CVV
19,159,Trinity,288.0,Pants,Clothing,Card,34,874,2021-12-01 18:47:46,USA,New York,www.amazon.com,53526,N,Timeout
20,177,John Smith,213.0,Hats,Clothing,Wallet,37,3281,2021-08-20 07:06:18,Germany,Berlin,www.ebay.in,63153,Y,
21,105,Trinity,237.0,Wireless Router,Electronics,Card,7,3664,2021-11-11 01:53:07,UK,London,www.flipkart.com,40087,N,Invalid CVV
22,180,Neo,215.0,Fantasy,Books,UPI,30,6233,2021-08-28 04:08:17,UK,London,www.amazon.com,69609,N,Insufficient Funds
23,108,Joe Smith,291.0,Socks,Clothing,Internet Banking,1,3316,2021-04-19 08:30:55,Australia,Sydney,www.ebay.in,99228,N,Timeout
24,176,Trinity,277.0,File Folder,Stationery,Internet Banking,25,8139,2021-04-08 10:04:35,USA,Boston,www.flipkart.com,36866,Y,
25,180,Neo,263.0,Fantasy,Books,Wallet,29,8264,2021-03-22 20:14:40,USA,New York,www.tatacliq.com,89744,N,Timeout
26,195,,261.0,Toaster,Home & Kitchen,Card,17,8280,2021-05-06 17:04:14,Australia,Melbourne,www.flipkart.com,92001,Y,
27,193,Trinity,275.0,Kitchen Scale,Home & Kitchen,Wallet,25,7677,2021-03-24 15:02:17,Germany,Hamburg,www.flipkart.com,31962,Y,
