order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,116,Trinity,265.0,Scarves,Clothing,Internet Banking,39,9284,2021-10-22 10:48:03,Australia,Sydney,www.flipkart.com,31151,Y,
2,169,Joe Smith,,Headphones,Electronics,Internet Banking,10,1066,2021-01-24 11:36:25,Germany,Berlin,www.ebay.in,81097,N,Invalid CVV
3,161,Trinity,224.0,Pens,Stationery,UPI,41,7703,2023-01-18 20:00:07,India,Mumbai,www.tatacliq.com,12970,Y,
4,193,Trinity,210.0,Kitchen Scale,Home & Kitchen,Wallet,41,5806,2025-12-22 15:01:23,Australia,Brisbane,www.amazon.com,22894,Y,
5,102,Mary Jane,264.0,Jeans,Clothing,Wallet,3,755,2026-12-30 15:49:58,Germany,Berlin,www.flipkart.com,13147,N,Invalid CVV
6,122,Mary Jane,273.0,Cutlery,Home & Kitchen,Card,11,7296,2023-06-02 21:07:39,USA,New York,www.tatacliq.com,53617,Y,
7,143,Trinity,291.0,Socks,Clothing,Internet Banking,12,9933,2024-07-13 10:21:33,Australia,Brisbane,www.flipkart.com,92615,Y,
8,182,Mary Jane,252.0,Dish Rack,Home & Kitchen,Internet Banking,8,4660,2022-07-17 23:56:42,Australia,Brisbane,www.tatacliq.com,80237,N,Invalid CVV
9,168,John Smith,290.0,Science Fiction,Books,Card,6,5459,2024-03-28 03:17:03,India,Indore,www.flipkart.com,73423,N,Timeout
10,161,Trinity,217.0,Graphic Novels,Books,UPI,2,9709,2025-02-05 05:14:54,India,Bengaluru,www.ebay.in,97036,Y,
11,105,Neo,232.0,Travel Books,Books,Wallet,43,969897,2025-07-21 12:26:35,India,Mumbai,www.flipkart.com,82875,N,Timeout
12,113,Trinity,264.0,Suits,Clothing,UPI,4,9850,2023-02-22 01:06:08,USA,New York,www.amazon.com,80471,N,Insufficient Funds
13,134,Trinity,201.0,Mugs,Home & Kitchen,Card,20,937,2023-12-01 16:22:01,UK,Manchester,www.ebay.in,21828,N,Timeout
14,123,Neo,273.0,Sweaters,Clothing,Card,2,827,2023-09-20 10:25:14,India,Bengaluru,www.tatacliq.com,36404,Y,
15,104,John Smith,200.0,Socks,Clothing,Internet Banking,38,1975,2026-07-16 00:49:36,UK,Manchester,www.amazon.com,82872,Y,
16,111,Joe Smith,238.0,Laptop,Electronics,Internet Banking,47,6541,2026-10-30 02:51:55,India,Mumbai,www.amazon.com,78922,N,Invalid CVV
17,154,John Smith,279.0,Air Fryer,Home & Kitchen,Card,-37,9075,2022-11-28 20:50:28,Germany,Munich,www.ebay.in,43170,Y,
18,132,John Smith,251.0,Mystery,Books,Card,5,7364,2026-11-04 03:06:57,India,Indore,www.ebay.in,97206,N,Invalid CVV
19,178,Trinity,237.0,Cutlery,Home & Kitchen,Card,23,9399,2024-08-19 09:52:51,Australia,Melbourne,www.flipkart.com,67402,Y,
20,159,Mary Jane,292.0,Portable Charger,Electronics,Internet Banking,3,5843,2025-01-13 17:32:43,Australia,Brisbane,www.ebay.in,20994,N,Invalid CVV
21,199,Trinity,241.0,Whiteboard Markers,Stationery,Wallet,38,6231,2021-09-09 00:14:58,Australia,Sydney,www.amazon.com,92509,N,Invalid CVV
22,181,Joe Smith,280.0,Cookbooks,Books,Card,33,7703,2021-10-27 20:29:26,UK,Manchester,www.flipkart.com,78878,N,Insufficient Funds
23,188,Joe Smith,242.0,Eraser,Stationery,Card,15,5529,2025-06-21 18:43:35,USA,New York,www.flipkart.com,47936,N,Insufficient Funds
24,178,Joe Smith,210.0,Science Fiction,Books,Internet Banking,33,7673,2021-10-03 02:45:05,Germany,Berlin,www.amazon.com,50339,Y,
25,165,Neo,285.0,Plates,Home & Kitchen,Wallet,29,1166,2022-07-31 20:51:51,UK,London,www.flipkart.com,86413,N,Timeout
26,164,Mary Jane,214.0,Children's Books,Books,Internet Banking,20,3247,2023-02-27 10:54:54,Australia,Melbourne,www.amazon.com,10738,Y,
27,149,Joe Smith,297.0,Pencils,Stationery,Card,50,4204,2026-02-13 22:21:25,Australia,Brisbane,www.ebay.in,28793,N,Insufficient Funds
28,132,John Smith,282.0,Comics,Books,Internet Banking,49,9793,2025-03-29 15:36:44,India,Indore,www.amazon.com,12547,Y,
29,195,Trinity,232.0,Smart TV,Electronics,Card,36,1429,2023-01-01 00:00:00,USA,Boston,www.amazon.com,12849,N,Timeout
