order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,194,Joe Smith,235.0,Whiteboard Markers,Stationery,Wallet,43,6503,2022-11-26 18:29:40,Australia,Brisbane,www.ebay.in,65634,N,Invalid CVV
2,163,John Smith,252.0,Dresses,Clothing,UPI,27,8270,2021-03-06 00:31:50,Germany,Hamburg,www.tatacliq.com,23415,N,Insufficient Funds
3,104,Trinity,,Letter Opener,Stationery,Card,9,3837,2022-08-08 08:37:13,India,Indore,www.ebay.in,52128,N,Timeout
4,154,Mary Jane,201.0,Smartphone,Electronics,UPI,36,3879,2023-11-11 20:20:13,Australia,Melbourne,www.ebay.in,94211,N,Insufficient Funds
5,126,Trinity,278.0,Mugs,Home & Kitchen,Internet Banking,16,6207,2021-01-24 01:03:27,UK,Oxford,www.ebay.in,24461,N,Timeout
6,114,John Smith,295.0,Cookware,Home & Kitchen,UPI,34,1394,2022-08-28 08:57:55,UK,London,www.flipkart.com,64400,Y,
7,128,John Smith,270.0,Portable Charger,Electronics,Wallet,33,9411,2023-11-24 15:23:09,Germany,Berlin,www.amazon.com,10163,Y,
8,167,Joe Smith,292.0,Scissors,Stationery,Internet Banking,7,5758,2023-06-03 05:28:53,UK,London,www.tatacliq.com,65619,N,Insufficient Funds
9,135,Neo,267.0,Classics,Books,Internet Banking,5,3598,2021-10-18 23:34:53,USA,New York,www.ebay.in,57360,Y,
10,167,John Smith,231.0,Monitor,Electronics,UPI,30,6290,2022-12-06 06:18:56,UK,Manchester,www.ebay.in,79191,N,Timeout
11,111,Neo,219.0,Microwave,Home & Kitchen,Invalid,19,3537,2021-10-11 20:17:36,UK,Manchester,www.tatacliq.com,20070,N,Invalid CVV
12,161,Mary Jane,244.0,Mystery,Books,Internet Banking,34,4614,2021-07-06 16:22:23,India,Mumbai,www.ebay.in,90561,N,Insufficient Funds
13,135,Joe Smith,291.0,Biography,Books,Wallet,5,1817,2022-11-27 04:27:46,Australia,Brisbane,www.amazon.com,72901,Y,
14,106,John Smith,289.0,Home Theater System,Electronics,Card,42,9273,2023-04-03 03:12:07,USA,Chicago,www.amazon.com,83439,Y,
15,122,Mary Jane,268.0,Shorts,Clothing,Card,10,9568,2022-11-29 08:33:21,Australia,Brisbane,www.ebay.in,69210,N,Timeout
16,107,Neo,254.0,Plates,Home & Kitchen,Wallet,14,7980,2022-07-31 18:12:52,UK,Oxford,www.tatacliq.com,43024,N,Insufficient Funds
17,181,Neo,245.0,Jeans,Clothing,Card,43,6033,2023-11-25 11:06:24,USA,New York,www.tatacliq.com,63979,N,Invalid CVV
18,178,Trinity,296.0,Pencil Sharpener,Stationery,Wallet,20,1108,2023-09-17 11:41:12,USA,Boston,www.amazon.com,29864,Y,
19,121,John Smith,294.0,Hoodies,Clothing,Invalid,25,479,2022-07-31 15:30:18,India,Bengaluru,www.tatacliq.com,22533,Y,
20,166,John Smith,226.0,Mixing Bowls,Home & Kitchen,UPI,2,7304,2021-09-18 12:16:07,UK,Manchester,www.flipkart.com,86722,Y,
21,101,Neo,295.0,Socks,Clothing,Wallet,14,6787,2022-07-01 11:20:18,Germany,Munich,www.tatacliq.com,47777,N,Invalid CVV
22,123,Joe Smith,238.0,Thrillers,Books,Card,31,9927,2023-01-01 00:00:00,USA,Chicago,www.ebay.in,73397,N,Timeout
23,121,Joe Smith,258.0,Cookware,Home & Kitchen,Internet Banking,43,7627,2022-04-16 23:11:37,India,Mumbai,www.amazon.com,49449,N,Invalid CVV
24,131,Trinity,201.0,Sticky Notes,Stationery,Card,4,1062,2023-01-01 00:00:00,UK,Manchester,www.ebay.in,56585,N,Timeout
25,191,Neo,210.0,Stapler,Stationery,Internet Banking,19,2411,2022-08-18 03:36:33,India,Mumbai,www.flipkart.com,20525,Y,
26,130,Joe Smith,249.0,Spatulas,Home & Kitchen,UPI,26,6932,2022-01-06 08:08:31,UK,Oxford,www.flipkart.com,18051,N,Timeout
27,191,John Smith,211.0,Cookbooks,Books,UPI,28,6762,2023-11-01 05:39:48,USA,Boston,www.amazon.com,94326,Y,
28,153,Trinity,257.0,Microwave,Home & Kitchen,Card,10,1603,2022-12-03 12:18:44,USA,Chicago,www.ebay.in,88664,Y,
29,171,Trinity,294.0,Travel Books,Books,Wallet,27,1168,2023-11-11 11:12:43,UK,London,www.amazon.com,55627,Y,
30,179,Neo,230.0,Projector,Electronics,Wallet,28,1678,2023-01-12 01:48:22,Australia,Sydney,www.tatacliq.com,25011,Y,
31,190,Mary Jane,276.0,Notebook,Stationery,Card,30,4269,2021-12-30 19:37:22,India,Bengaluru,www.flipkart.com,93116,Y,
32,141,Neo,283.0,Laptop,Electronics,Internet Banking,11,5213,2021-01-10 08:58:21,Australia,Sydney,www.ebay.in,56142,Y,
33,165,Mary Jane,207.0,Kitchen Towels,Home & Kitchen,Internet Banking,44,9472,2023-02-04 13:36:07,Germany,Berlin,www.flipkart.com,86579,Y,
34,132,Neo,228.0,Letter Opener,Stationery,Wallet,31,5636,2022-04-12 09:31:31,Germany,Hamburg,www.tatacliq.com,92203,N,Insufficient Funds
35,163,Joe Smith,209.0,Jackets,Clothing,Card,-32,7953,2023-06-07 16:44:19,Germany,Hamburg,www.ebay.in,96624,N,Timeout
36,109,John Smith,226.0,Horror,Books,Wallet,29,8194,2021-06-06 17:44:27,Australia,Brisbane,www.amazon.com,85494,Y,
37,102,Joe Smith,296.0,File Folder,Stationery,Wallet,6,6759,2023-09-07 05:41:34,India,Bengaluru,www.tatacliq.com,42268,N,Insufficient Funds
38,161,Trinity,209.0,Pens,Stationery,UPI,7,5981,2022-04-23 21:07:43,Australia,Melbourne,www.flipkart.com,23017,N,Timeout
39,159,Trinity,295.0,USB Flash Drive,Electronics,UPI,24,4627,2021-08-30 02:33:06,Germany,Munich,www.tatacliq.com,87165,N,Invalid CVV
40,177,John Smith,256.0,Home Theater System,Electronics,Card,36,8898,2021-08-11 16:55:04,India,Indore,www.tatacliq.com,17327,N,Timeout
41,129,John Smith,,Graphic Novels,Books,UPI,31,2430,2021-09-05 10:31:29,Germany,Hamburg,www.ebay.in,86557,Y,
42,188,Trinity,209.0,Cookbooks,Books,UPI,35,8288,2022-07-02 23:04:24,UK,London,www.flipkart.com,17477,Y,
43,165,Joe Smith,220.0,Mystery,Books,Wallet,35,4467,2021-09-26 20:26:10,India,Bengaluru,www.flipkart.com,71811,Y,
44,153,John Smith,240.0,Drone,Electronics,UPI,21,5481,2022-01-29 17:46:43,UK,London,www.ebay.in,26596,Y,
45,165,John Smith,294.0,Kitchen Scale,Home & Kitchen,Wallet,21,730,2021-07-13 03:50:18,UK,Manchester,www.tatacliq.com,93379,N,Invalid CVV
46,129,Trinity,231.0,Laptop,Electronics,UPI,15,1776,2023-09-18 04:22:10,Germany,Munich,www.amazon.com,40364,N,Insufficient Funds
47,168,Neo,209.0,Eraser,Stationery,Internet Banking,26,5662,2021-05-07 03:19:23,Germany,Berlin,www.amazon.com,86434,N,Timeout
48,151,Neo,241.0,Projector,Electronics,Wallet,41,6353,2022-12-10 07:52:45,India,Indore,www.flipkart.com,52715,N,Timeout
49,181,Mary Jane,243.0,Drone,Electronics,Wallet,33,3540,2022-01-01 22:34:36,India,Bengaluru,www.amazon.com,32558,Y,
50,101,Mary Jane,,External Hard Drive,Electronics,UPI,19,2181,2023-05-20 10:30:37,Australia,Sydney,www.tatacliq.com,47181,N,Insufficient Funds
51,112,Mary Jane,205.0,Pencil Sharpener,Stationery,UPI,12,489328,2021-11-15 02:34:55,India,Mumbai,www.ebay.in,28788,Y,
52,171,Trinity,290.0,Biography,Books,UPI,19,1017,2022-09-20 10:11:12,India,Indore,www.tatacliq.com,13057,N,Insufficient Funds
53,193,Neo,251.0,Hats,Clothing,Internet Banking,5,9864,2021-09-25 03:32:48,India,Bengaluru,www.amazon.com,81987,N,Timeout
54,125,Joe Smith,254.0,Glasses,Home & Kitchen,UPI,48,3337,2022-05-30 02:08:54,Australia,Brisbane,www.ebay.in,84837,N,Insufficient Funds
55,159,Mary Jane,238.0,Suits,Clothing,Wallet,32,168,2021-07-01 23:51:35,Germany,Berlin,www.flipkart.com,81193,N,Invalid CVV
56,172,Neo,277.0,Shoes,Clothing,Card,10,3428,2023-07-10 00:58:02,UK,Oxford,www.amazon.com,14519,N,Insufficient Funds
57,137,Mary Jane,,Eraser,Stationery,UPI,7,7431,2022-12-11 19:56:47,India,Mumbai,www.amazon.com,59794,N,Insufficient Funds
