order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,105,Joe Smith,210.0,Memoir,Books,Card,1,3422,2022-12-03 14:49:46,Germany,Berlin,www.amazon.com,30910,N,Invalid CVV
2,199,Trinity,235.0,Smart TV,Electronics,Card,21,2742,2021-06-02 03:12:18,Australia,Brisbane,www.tatacliq.com,87352,N,Timeout
3,126,Joe Smith,231.0,Eraser,Stationery,UPI,48,6732,2022-08-01 08:57:08,Australia,Brisbane,www.ebay.in,38273,Y,
4,146,Mary Jane,201.0,Fiction,Books,Card,13,3919,2023-01-26 22:13:15,USA,New York,www.amazon.com,94005,Y,
5,189,Joe Smith,276.0,Science Fiction,Books,Internet Banking,24,8859,2021-07-16 08:35:14,USA,Chicago,www.tatacliq.com,80273,N,Invalid CVV
6,109,John Smith,275.0,Jeans,Clothing,Internet Banking,19,8744,2022-09-05 10:42:13,Germany,Hamburg,www.ebay.in,11779,N,Timeout
7,160,Joe Smith,267.0,Monitor,Electronics,Internet Banking,26,1308,2023-04-23 00:03:01,Australia,Brisbane,www.amazon.com,32954,N,Insufficient Funds
8,161,Joe Smith,293.0,Travel Books,Books,UPI,38,5139,2022-12-22 06:31:36,USA,Chicago,www.ebay.in,46777,Y,
9,127,,295.0,Paper Cutter,Stationery,UPI,23,1067,2023-05-20 09:40:58,USA,Chicago,www.ebay.in,23703,Y,
10,135,Trinity,270.0,Biography,Books,Internet Banking,25,9666,2023-11-26 06:32:21,Australia,Sydney,www.flipkart.com,66969,N,Timeout
11,189,Trinity,274.0,Mugs,Home & Kitchen,Card,-8,6133,2021-04-13 10:10:44,USA,Chicago,www.flipkart.com,75675,N,Invalid CVV
12,145,Trinity,274.0,Young Adult,Books,Internet Banking,32,1304,2022-07-19 18:56:46,Australia,Brisbane,www.flipkart.com,58733,N,Timeout
13,124,Joe Smith,246.0,Plates,Home & Kitchen,Card,13,4746,2022-12-01 17:24:20,USA,Chicago,www.flipkart.com,61913,N,Timeout
14,146,Joe Smith,236.0,Cutlery,Home & Kitchen,UPI,49,6084,2023-06-22 04:07:47,USA,New York,www.amazon.com,86656,Y,
15,121,Trinity,281.0,External Hard Drive,Electronics,UPI,18,5986,2023-03-14 00:13:21,Australia,Brisbane,www.ebay.in,41947,Y,
16,191,Neo,235.0,Pencils,Stationery,Wallet,32,6659,2023-04-11 06:31:32,Germany,Berlin,www.amazon.com,70948,Y,
17,130,Trinity,231.0,Chopping Board,Home & Kitchen,Internet Banking,18,3681,2023-12-24 05:28:50,Germany,Berlin,www.tatacliq.com,16626,N,Timeout
18,123,John Smith,238.0,Paper Clips,Stationery,Internet Banking,38,1325,2023-01-01 00:00:00,UK,Oxford,www.tatacliq.com,18086,Y,
19,127,John Smith,254.0,Memoir,Books,UPI,17,469763,2022-05-13 14:12:18,Germany,Hamburg,www.ebay.in,85827,Y,
20,173,John Smith,,USB Flash Drive,Electronics,Internet Banking,48,1460,2022-09-20 10:59:07,USA,New York,www.ebay.in,97524,N,Timeout
21,123,Joe Smith,295.0,Horror,Books,UPI,24,3606,2021-03-13 04:57:07,UK,Oxford,www.amazon.com,45126,Y,
22,200,Mary Jane,230.0,Textbooks,Books,Card,17,6438,2022-02-04 13:42:32,Germany,Berlin,www.flipkart.com,72594,N,Invalid CVV
23,112,John Smith,231.0,Mixing Bowls,Home & Kitchen,Card,49,9308,2021-09-25 02:28:55,Germany,Berlin,www.ebay.in,56805,N,Invalid CVV
24,121,Neo,217.0,Comics,Books,Wallet,48,2641,2023-03-22 11:49:57,India,Indore,www.amazon.com,65555,Y,
25,153,Joe Smith,211.0,Paper Cutter,Stationery,Wallet,1,5194,2023-01-01 00:00:00,Australia,Brisbane,www.amazon.com,52019,N,Invalid CVV
26,130,Mary Jane,259.0,Portable Charger,Electronics,UPI,35,5617,2021-11-14 03:30:57,UK,Oxford,www.amazon.com,41854,N,Timeout
27,192,Neo,265.0,USB Flash Drive,Electronics,UPI,17,789,2021-11-25 03:55:24,Australia,Sydney,www.amazon.com,88949,N,Timeout
28,132,Trinity,299.0,Science Fiction,Books,Wallet,41,5907,2022-08-14 12:26:50,India,Mumbai,www.flipkart.com,24746,N,Insufficient Funds
29,181,John Smith,211.0,Suits,Clothing,Card,50,8958,2021-03-23 09:42:39,Germany,Hamburg,www.ebay.in,95395,N,Timeout
30,145,John Smith,240.0,Drone,Electronics,Internet Banking,36,4031,2023-09-04 04:09:59,Australia,Brisbane,www.amazon.com,16862,Y,
31,174,Neo,216.0,Sticky Notes,Stationery,Internet Banking,31,5898,2022-06-04 18:16:47,India,Bengaluru,www.tatacliq.com,54017,Y,
32,138,Trinity,252.0,Hoodies,Clothing,Internet Banking,19,5019,2021-11-24 20:56:57,USA,Chicago,www.flipkart.com,70194,N,Insufficient Funds
33,154,Joe Smith,251.0,Pens,Stationery,Card,32,1642,2022-07-21 11:19:59,Australia,Melbourne,www.flipkart.com,22717,Y,
34,194,Joe Smith,283.0,T-Shirts,Clothing,Card,49,2878,2023-06-05 05:28:43,UK,Oxford,www.ebay.in,84143,Y,
35,111,Joe Smith,237.0,Scarves,Clothing,Internet Banking,29,7416,2022-09-02 13:14:24,Germany,Munich,www.tatacliq.com,47546,Y,
36,129,Mary Jane,238.0,Fiction,Books,Card,14,3614,2022-08-21 08:15:06,USA,Boston,www.amazon.com,20216,N,Invalid CVV
37,141,Neo,201.0,Sticky Notes,Stationery,Wallet,8,351,2022-01-17 04:13:59,USA,Chicago,www.tatacliq.com,53397,Y,
38,182,John Smith,284.0,Fiction,Books,Card,22,3741,2023-01-01 00:00:00,India,Indore,www.tatacliq.com,18633,N,Timeout
39,129,Neo,270.0,Horror,Books,Internet Banking,28,3118,2021-09-03 01:08:48,Germany,Munich,www.flipkart.com,44697,N,Invalid CVV
40,198,John Smith,250.0,Nightwear,Clothing,UPI,30,9260,2023-01-20 12:34:07,UK,Oxford,www.ebay.in,24364,Y,
41,101,Neo,294.0,Stapler,Stationery,UPI,45,1354,2022-05-31 04:18:34,UK,London,www.flipkart.com,50581,N,Timeout
